org_name,data_url,status,reason,record_count,retrieved_at
神奈川県,https://www.pref.kanagawa.jp/docs/b8k/cnt/f536260/index.html,error,ページ取得失敗,0,2026-06-16T06:02:55Z
東京都,https://catalog.data.metro.tokyo.lg.jp/api/3/action/package_search?q=%E5%85%AC%E5%9C%92%E4%B8%80%E8%A6%A7&rows=50,error,API取得失敗,0,2026-06-16T06:02:55Z
大阪府,https://data.bodik.jp/dataset/270008_park_list,error,ページ取得失敗,0,2026-06-16T06:02:55Z
熊本県,https://data.bodik.jp/dataset/430005_00174,error,ページ取得失敗,0,2026-06-16T06:02:56Z
名古屋市,https://data.bodik.jp/dataset/231002_171310000_001,error,ページ取得失敗,0,2026-06-16T06:02:57Z
横浜市,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/midori-koen/koen/kouen.html,error,ページ取得失敗,0,2026-06-16T06:02:58Z
さいたま市,https://www.city.saitama.lg.jp/004/006/003/003/p095465.html,error,ページ取得失敗,0,2026-06-16T06:02:58Z
千葉市,https://www.city.chiba.jp/sogoseisaku/shichokoshitsu/kohokocho/map_opendata.html,error,ページ取得失敗,0,2026-06-16T06:02:59Z
福岡市,https://data.bodik.jp/dataset/401307_tosikouen,error,ページ取得失敗,0,2026-06-16T06:02:59Z
北九州市,https://data.bodik.jp/dataset/401005_toshikoendaicholist,error,ページ取得失敗,0,2026-06-16T06:03:00Z
堺市,https://data.bodik.jp/dataset/271403_sakai_park,error,ページ取得失敗,0,2026-06-16T06:03:01Z
姫路市,https://city.himeji.gkan.jp/gkan/api/3/action/package_show?id=himejikoen,error,API取得失敗,0,2026-06-16T06:03:02Z
浜松市,https://opendata.pref.shizuoka.jp/dataset/11964.html,error,ページ取得失敗,0,2026-06-16T06:03:02Z
静岡市,https://opendata.pref.shizuoka.jp/dataset/12366.html,error,ページ取得失敗,0,2026-06-16T06:03:03Z
岡崎市,https://www.city.okazaki.lg.jp/shisei/opendata/1005809.html,error,ページ取得失敗,0,2026-06-16T06:03:03Z
奈良市,https://www.city.nara.lg.jp/soshiki/115/50044.html,error,ページ取得失敗,0,2026-06-16T06:03:04Z
宇都宮市,https://catalog.city.utsunomiya.tochigi.jp/api/3/action/package_show?id=kouenryokuti,error,API取得失敗,0,2026-06-16T06:03:04Z
那須塩原市,https://opendata-nasu.opendatastack.jp/api/3/action/package_show?id=shisetu-kouenn-tosisetibi,error,API取得失敗,0,2026-06-16T06:03:04Z
新潟市,https://www.city.niigata.lg.jp/shisei/seisaku/it/open-data/opendata-gis/od-gis_kurashibosai/od-gis_park.html,error,ページ取得失敗,0,2026-06-16T06:03:04Z
船橋市,https://odcs.bodik.jp/122041/,error,ページ取得失敗,0,2026-06-16T06:03:05Z
市川市,https://www.city.ichikawa.lg.jp/pla01/opendata.html,error,ページ取得失敗,0,2026-06-16T06:03:05Z
仙台市,https://miyagi.dataeye.jp/api/package_show/515,skipped,対象リソース無し,0,2026-06-16T06:03:06Z
長浜市,https://data.bodik.jp/dataset/252034_park,error,ページ取得失敗,0,2026-06-16T06:03:06Z
加古川市,https://opendata-api-kakogawa.jp/ckan/api/3/action/package_show?id=urbanpark,error,API取得失敗,0,2026-06-16T06:03:07Z
広島市,https://hiroshima-opendata.dataeye.jp/api/package_search?q=%E5%85%AC%E5%9C%92&organization=hiroshima,skipped,対象リソース無し,0,2026-06-16T06:03:08Z
岡山市,https://www.okayama-opendata.jp/api/3/action/package_search?q=%E5%85%AC%E5%9C%92&fq=organization:130009,error,API取得失敗,0,2026-06-16T06:03:08Z
松山市,https://www.city.matsuyama.ehime.jp/shisei/opendata/metadata/kouen.html,error,ページ取得失敗,0,2026-06-16T06:03:09Z
高松市,https://opendata.smartcity-takamatsu.jp/ckan/api/3/action/package_search?q=%E5%85%AC%E5%9C%92&fq=organization:takamatsu&rows=20,error,API取得失敗,0,2026-06-16T06:03:10Z
高知市,https://www.city.kochi.kochi.jp/soshiki/80/kochicity-opendata.html,error,ページ取得失敗,0,2026-06-16T06:03:10Z
熊本市,https://www.city.kumamoto.jp/dynamic/opendata/pub/detail.aspx?c_id=38&id=37,error,ページ取得失敗,0,2026-06-16T06:03:11Z
那覇市,https://odcs.bodik.jp/472018/,error,ページ取得失敗,0,2026-06-16T06:03:11Z
沖縄市,https://www.city.okinawa.okinawa.jp/opendata/index.php?p=1_1&asc=od_data_type&displayedresults=100,error,ページ取得失敗,0,2026-06-16T06:03:12Z
札幌市,https://ckan.pf-sapporo.jp/api/3/action/package_show?id=kouen_ryokuchi,error,API取得失敗,0,2026-06-16T06:03:12Z
大阪市,https://www.geospatial.jp/ckan/api/3/action/package_show?id=mapnavi-city-osaka,error,API取得失敗,0,2026-06-16T06:03:13Z
長崎市,https://data.bodik.jp/api/3/action/package_search?q=%E5%85%AC%E5%9C%92&fq=organization:422011&rows=20,error,API取得失敗,0,2026-06-16T06:03:13Z
京都市,https://data.city.kyoto.lg.jp/api/3/action/package_search?q=%E5%85%AC%E5%9C%92&rows=20,error,API取得失敗,0,2026-06-16T06:03:14Z
BODIK CKAN（全国自治体）,https://data.bodik.jp/api/3/action/package_search?q=%E5%85%AC%E5%9C%92+%E4%B8%80%E8%A6%A7&res_format=CSV&rows=100&start=0,error,API取得失敗,0,2026-06-16T06:03:14Z
BODIK CKAN（全国自治体・XLSX）,https://data.bodik.jp/api/3/action/package_search?q=%E5%85%AC%E5%9C%92+%E4%B8%80%E8%A6%A7&res_format=XLSX&rows=100&start=0,error,API取得失敗,0,2026-06-16T06:03:15Z
